"RID","AnnualFee_1","AnnualFee_2","AnnualFee_3","AnnualFee_4","AnnualFee_5","Rewards_1","Rewards_2","Rewards_3","Rewards_4","InterestRate_1","InterestRate_2","InterestRate_3","InterestRate_4","InterestRate_5","InterestRate_6","Fees_1","Fees_2","Fees_3","CreditLimit_1","CreditLimit_2","CreditLimit_3","CreditLimit_4","CreditLimit_5","CreditLimit_6"
"R_2EGkVeCaoudZYFE"," 2.025446e+00","-1.517402e-01","-1.0731633031","-2.144272970"," 1.3437309813","-1.801975548"," 1.0139714822"," 8.000243e-01","-1.202019e-02"," 0.807647754"," 0.174846122","-4.374173e-01"," 3.875848e-01","-0.5990767772","-0.333584561","-1.610124e-01","-1.9197483398"," 2.0807607223"," 3.142854e-01"," 0.0186377448"," 0.8013798819"," 2.516661e-01","-0.3268122069","-1.0591569380"
"R_Rku9SiiZKi7ercZ"," 9.664665e-01"," 6.737024e-01","-0.0720910099","-0.473190331","-1.0948875448","-0.752026416"," 0.1061712997"," 7.970347e-01","-1.511796e-01"," 2.168054607"," 2.764786919"," 9.108091e-01"," 1.508948e-02","-2.3506124409","-3.508127630"," 6.426075e-02","-0.2832934362"," 0.2190326853","-4.098519e+00","-1.7888911119","-0.4993460221"," 1.221530e+00"," 2.3208681652"," 2.8443581062"
"R_2Cffos7z9sYpOuI"," 1.438924e-01","-6.049279e-01"," 0.0165296121","-1.082587695"," 1.5270936093","-0.032536587","-0.2992893288","-1.430231e-01"," 4.748490e-01","-1.000011214"," 0.072087350","-2.357658e-01"," 3.985692e-01","-0.1268193115"," 0.891939759","-6.344607e-01"," 0.2018202533"," 0.4326404316","-2.179139e+00","-0.7959960005","-0.1803203935"," 4.022016e-01"," 1.5720481490"," 1.1812053760"
"R_3hgq20MVmdW8I1t"," 2.799541e+00"," 8.098675e-01","-0.9480474869","-2.567305226","-0.0940553930","-1.125945737"," 0.5526573005"," 8.246351e-01","-2.513467e-01"," 2.498970219"," 1.647942783"," 1.137223e+00","-3.423298e-01","-2.1375713366","-2.804235196"," 1.839486e-01","-1.7698944498"," 1.5859458857","-2.185778e+00","-0.6703927799"," 0.9116193487","-1.048998e-01"," 1.4229401026"," 0.6265107934"
"R_1NzC7mTgzV8XNFA"," 7.068767e-01"," 7.416152e-02"," 0.2791735526","-0.940991548","-0.1192202036","-2.087551432"," 0.7938048881"," 5.774886e-01"," 7.162580e-01"," 3.189776186"," 1.629540029"," 1.505575e+00","-6.740023e-01","-2.2110756460","-3.439813416","-2.125037e-01","-2.1680992927"," 2.3806029588","-1.669149e+00","-0.0500979447","-0.0930596378"," 8.414276e-01"," 0.3364017417"," 0.6344770363"
"R_2B9REFzGaG3d70i"," 9.980741e-01"," 9.947915e-01","-0.0002617869","-1.514862653","-0.4777412158","-0.697457350","-0.0710647427"," 7.679886e-01"," 5.335025e-04"," 2.080174657"," 2.034146211"," 1.727174e+00","-6.395736e-01","-2.3208643755","-2.881056865"," 3.543565e-01","-1.5436962176"," 1.1893396995","-2.442603e+00","-0.5504069424","-0.6565181859"," 3.118276e-01"," 1.5419888249"," 1.7957113177"
"R_1Lzmsb5yeUm2BQ1"," 2.178389e+00"," 7.854794e-01","-0.8258608719","-2.497806130"," 0.3597982444","-1.392454716"," 0.8797698771"," 2.719845e-01"," 2.407003e-01"," 2.313710045"," 2.278294445"," 6.687877e-01","-7.405913e-01","-1.7714532853","-2.748747630","-3.479008e-02","-0.5594531902"," 0.5942432732","-1.313672e+00"," 0.3308381123","-0.1143801288"," 7.929502e-01"," 1.0093857680","-0.7051216600"
"R_2U56XLAUXj6z8QF","-8.644043e-02"," 9.432619e-01","-0.4453967642","-0.230807269","-0.1806173848","-0.568883013"," 1.0472452622"," 3.563738e-02","-5.139996e-01"," 1.329012714"," 1.506277857"," 6.827410e-01","-4.506178e-01","-1.8997603228","-1.167653392","-3.515435e-01","-0.5624648090"," 0.9140082764","-6.893638e-01"," 1.0181554726"," 1.3452182364"," 9.581942e-01","-0.5192244862","-2.1129796412"
"R_2tcofXwP07suU01"," 2.918231e+00"," 4.551866e-01","-1.7472106998","-3.234253172"," 1.6080461007","-0.904728132"," 0.1983224722"," 6.392040e-02"," 6.424853e-01"," 0.840750652"," 1.411519032"," 1.079359e+00","-8.036488e-01","-1.1873179948","-1.340662327","-3.946448e-01","-0.0650535123"," 0.4596983461","-2.321080e+00","-0.6928633068","-0.1185690251"," 5.512243e-01"," 1.3119710639"," 1.2693174844"
"R_2OZ3CHiOpxH3JHL"," 2.610846e+00","-9.090278e-01","-1.3273794327","-3.478666792"," 3.1042278234","-0.480927384"," 0.1380212702","-6.642963e-02"," 4.093357e-01","-0.277411189"," 0.295600242","-6.181354e-01"," 6.843253e-02"," 0.6638233041","-0.132309530","-3.124386e-01"," 0.2758405679"," 0.0365980792","-3.847126e-01"," 0.3568987416"," 0.4092050586"," 6.875841e-01","-0.0851521477","-0.9838231349"
"R_xaZfWKjWyeoJ79L"," 1.382444e+00"," 1.072311e+00","-0.6631572614","-0.752758444","-1.0388388367","-1.714318977"," 1.1940271138"," 4.106685e-01"," 1.096233e-01"," 1.011896150"," 0.328769615"," 2.067951e-01"," 4.528514e-01","-0.6504736453","-1.349838644"," 2.079360e-01","-2.4111782592"," 2.2032423024"," 1.103213e-01","-0.0391331752"," 0.9048347454","-3.360834e-01"," 0.5613143054","-1.2012538392"
"R_3EtJEIUYioc3I2J"," 1.210999e+00"," 7.541271e-01"," 0.2440348148","-1.130434215","-1.0787263826","-1.118715862"," 0.9959712675","-1.396464e-01"," 2.623910e-01"," 0.415427489"," 0.366998624"," 1.043594e-01"," 4.295280e-01","-0.3519151637","-0.964398389"," 2.932702e-01"," 0.1290649436","-0.4223351706","-8.997925e-01"," 0.3174599262"," 1.2602122986"," 8.091711e-01"," 0.3424308333","-1.8294816554"
"R_2R3cFWxVGR8O1BL"," 2.386710e+00"," 3.089575e-01","-0.7388528879","-2.411346729"," 0.4545320136","-1.642132601"," 1.1097823701"," 2.842250e-01"," 2.481252e-01"," 2.779781836"," 1.592283925"," 9.303948e-01"," 5.552495e-02","-2.1461871091","-3.211798405"," 2.290741e-01","-2.1182245176"," 1.8891504200","-2.481228e+00","-1.0774896028"," 0.6254068000"," 2.295179e-01"," 1.6568834665"," 1.0469095781"
"R_2PjPEGjXZOT7rhd","-3.475733e-01","-3.617035e-01","-0.1828910333","-0.441172700"," 1.3333404796","-1.435008347"," 0.3061164851"," 5.124626e-01"," 6.164292e-01"," 1.814096168"," 0.837176705"," 3.473649e-01"," 1.923198e-01","-1.6078316016","-1.583125933"," 1.214137e-01","-1.8108308803"," 1.6894172197","-2.177093e+00","-0.4131870613"," 0.0186506028"," 1.384883e+00"," 0.4511009471"," 0.7356449683"
